ligand_stem,target_receptor_id,docking_score,docked_flag,lit_pcba_id_x,label_x,activity_x,cnnscore,cnnaffinity,gnina_empirical_affinity,rescore_status,zinc_id,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,lit_pcba_id_y,label_y,activity_y,cnn_top_decile_threshold,recall_median_threshold,passes_gate
11705051,5cav_a_4zq_1101,-7.852,True,11705051,-1,prospective,0.94508,7.76638,-7.85487,success,11705051,0.3709677419354839,25,1.2956741935483873,CCN1CCN(C(=O)CCc2nnc(CCc3ccccc3OC)o2)[C@@H](C)C1=O,400.5,1.88,0,6,8,88.8,2,0.672,O=C1CN(C(=O)CCc2nnc(CCc3ccccc3)o2)CCN1,11705051,-1,prospective,0.6868879999999999,0.2903225806451613,True
11963158,5cav_a_4zq_1101,-7.92,True,11963158,-1,prospective,0.95184,7.76061,-7.92078,success,11963158,0.3225806451612903,22,1.2588851612903225,COC(=O)[C@H]1CCCCN1C(=O)CSc1ccc2nnc(-c3cccnc3)n2n1,412.5,1.83,0,8,5,102.6,5,0.462,O=C(CSc1ccc2nnc(-c3cccnc3)n2n1)N1CCCCC1,11963158,-1,prospective,0.6868879999999999,0.2903225806451613,True
67620901,5cav_a_4zq_1101,-9.003,True,67620901,-1,prospective,0.93793,7.71584,-8.59631,success,67620901,0.3387096774193548,23,1.2556159677419354,Cc1cccc(Nc2ccc(N3CCN(S(=O)(=O)c4cccnc4)CC3)nn2)n1,411.5,1.83,1,8,5,104.2,4,0.678,O=S(=O)(c1cccnc1)N1CCN(c2ccc(Nc3ccccn3)nn2)CC1,67620901,-1,prospective,0.6868879999999999,0.2903225806451613,True
1422250,4hjo_a_aq4_1001,-9.349,True,1422250,-1,prospective,0.97092,7.2643,-9.35016,success,1422250,0.2903225806451613,22,1.2528,Cn1c(=O)c2c(nc(Sc3nc4ncc(Br)cc4[nH]3)n2C)n(C)c1=O,422.3,1.16,1,6,2,103.4,7,0.52,O=c1[nH]c(=O)c2[nH]c(Sc3nc4ncccc4[nH]3)nc2[nH]1,1422250,-1,prospective,0.6868879999999999,0.2903225806451613,True
814577,1xkk_a_fmm_91,-9.556,True,814577,-1,prospective,0.85251,7.3773,-9.5585,success,814577,0.46774193548387094,32,1.2512646774193548,COc1ccc(OC)c(S(=O)(=O)N2CCC(C(=O)NCc3ccccn3)CC2)c1,419.5,1.82,1,6,7,97.8,1,0.735,O=C(NCc1ccccn1)C1CCN(S(=O)(=O)c2ccccc2)CC1,814577,-1,prospective,0.6868879999999999,0.2903225806451613,True
952980922,1xkk_a_fmm_91,-10.836,True,952980922,-1,prospective,0.9026,7.77998,-10.83864,success,952980922,0.3709677419354839,26,1.2374354838709678,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3nc(N)nc4c3CCCC4)CC2)cc1,415.5,1.39,1,6,3,109.5,2,0.811,O=C(c1ncnc2c1CCCC2)N1CCN(S(=O)(=O)c2ccccc2)CC1,952980922,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382367437,1xkk_a_fmm_91,-10.883,True,2382367437,-1,prospective,0.86724,7.50102,-11.13985,success,2382367437,0.41935483870967744,30,1.2309212903225808,O=C(c1cncc(N2C[C@H](Cc3ccc4ccccc4n3)[C@@H](O)C2)n1)N1CCOCC1,419.5,1.54,1,7,4,91.7,3,0.686,O=C(c1cncc(N2CCC(Cc3ccc4ccccc4n3)C2)n1)N1CCOCC1,2382367437,-1,prospective,0.6868879999999999,0.2903225806451613,True
20211662,1xkk_a_fmm_91,-9.056,True,20211662,-1,prospective,0.87398,7.64394,-9.05338,success,20211662,0.4032258064516129,26,1.2263912903225807,O=C(CCCn1nnnc1CN1CCOCC1)N[C@@H](c1cccnc1)C(F)(F)F,413.4,1.1,1,7,8,98.1,5,0.692,O=C(CCCn1nnnc1CN1CCOCC1)NCc1cccnc1,20211662,-1,prospective,0.6868879999999999,0.2903225806451613,True
14966315,1xkk_a_fmm_91,-7.982,True,14966315,-1,prospective,0.86134,8.05513,-7.98694,success,14966315,0.41935483870967744,29,1.2225470967741936,Cc1nn(C)c(C)c1CN(C(=O)C[C@H]1C(=O)NCCN1Cc1cccs1)C1CC1,415.6,1.98,1,5,7,70.5,2,0.751,O=C1NCCN(Cc2cccs2)C1CC(=O)N(Cc1cn[nH]c1)C1CC1,14966315,-1,prospective,0.6868879999999999,0.2903225806451613,True
20906438,1xkk_a_fmm_91,-8.429,True,20906438,-1,prospective,0.87536,7.6298,-8.43555,success,20906438,0.3870967741935484,27,1.2142090322580645,COc1ccccc1[C@H]1CCCN1C(=O)CCCn1nnnc1CN1CCOCC1,414.5,1.66,0,7,8,85.6,4,0.649,O=C(CCCn1nnnc1CN1CCOCC1)N1CCCC1c1ccccc1,20906438,-1,prospective,0.6868879999999999,0.2903225806451613,True
